No,Show Name,Time,Tag,Venue,Location,Price,Tickets,Rating
1,DJ Night,11PM,Party,IITM,Chennai,10,10,9
2,Krithik Bday,9AM,Family,Vivid,Trichy,0,3,9
3,DJ Night Edited,10PMEdited,PartyMusic,IITM,Chennai,10,25,9
4,DnD,10PM,Movie,IITM,Chennai,118,3,6
5,DnD,10PM,Movie,IITM,Chennai,118,1,6
6,DnD,10PM,Movie,IITM,Chennai,118,1,6
7,DnD,10PM,Movie,IITM,Chennai,118,2,6
8,DJ Night Edited,10PMEdited,PartyMusic,IITM,Chennai,10,1,9
9,Krithik Bday,9AM,Family,Vivid,Trichy,0,100,9
10,Krithik Bday,9AM,Family,Vivid,Trichy,0,7,9
11,Krithik Bday,9AM,Family,Vivid,Trichy,0,1,9
12,DnD,10PM,Movie,IITM,Chennai,118,1,6
13,IITM,10AM,Party,Courtyard,TN Hotel,1000,12,9
14,DnD,10PM,Movie,IITM,Chennai,118,1,6
